Id, char_name
1,'Homer Simpson'
2,'Marge Simpson'
3,'Bart Simpson'
4,'Lisa Simpson'
5,'Maggie Simpson'
6,'Akira'
7,'Ms. Albright'
8,'Dolph Starbeam'
9,'Jimbo Jones'
10,'Kearney Zzyzwicz'
11,'Reverend Timothy Lovejoy'
12,'Apu Nahasapeemapetilon'
13,'Sideshow Bob'
14,'Jebediah Springfield'
15,'Aristotle Amadopolis'
16,'Luann Van Houten'
17,'Atkins
18,'Mary Bailey'
19,'Dave Shutton'
20,"'Birchibald \""Birch\"" T. Barlow'"
21,'Jasper Beardly'
22,'Benjamin
23,'Bill and Marty'
24,'Blinky'
25,'Otto Mann'
26,'Sherri and Terri'
27,'Chief Clancy Wiggum'
28,'Blue Haired Lawyer'
29,'Lionel Hutz'
30,'Dr. Nick Riveria'
31,'Boobarella'
32,'Wendell Borton'
33,'Patty Bouvier'
34,'Selma Bouvier'
35,"'Charles Montgomery \""Monty\"" Burns'"
36,'Ned Flanders'
37,'Todd Flanders'
38,'Barney Gumble'
39,'Dewey Largo'
40,'Lewis Jackson'
41,'Santa\'s Little Helper'
42,'Principal Seymour Skinner'
43,'Waylon Smithers'
44,'Snowball'
45,'Moe Szyslak'
46,'Milhouse Van Houten'
47,'Jacqueline Bouvier'
48,'Bleeding Gums Murphy'
49,'Ling Bouvier'
50,'Kent Brockman'
51,'Scott Christian'
52,'Judge Roy Snyder'
53,'Bumblebee Man'
54,'Capital City Goofball'
55,'Carl Carlson'
56,'Princess Kashmir'
57,'Crazy Cat Lady'
58,'Superintendent Gary Chalmers'
59,'Comic Book Guy'
60,'Mrs. Glick'
61,'Mr. Costington'
62,'Database'
63,'Declan Desmond'
64,'Disco Stu'
65,'Lunchlady Doris'
66,'Duffman'
67,'Eddie and Lou'
68,'Dr. Marvin Monroe'
69,'Ernst and Gunter'
70,'The Rich Texan'
71,'Fat Tony'
72,'Legs and Louie'
73,'Maude Flanders'
74,'Rod Flanders'
75,"'Mayor \""Diamond Joe\"" Quimby'"
76,'Francesca Terwilliger'
77,'Gino'
78,'Frankie the Squealer'
79,'Johnny Tightlips'
80,'Professor John Frink'
81,'Old Jewish Man'
82,'Baby Gerald'
83,'Leopold'
84,'Luigi'
85,'Ginger Flanders'
86,'Amber Simpson'
87,'Gloria'
88,'Gil Gunderson'
89,'Cookie Kwan'
90,'The Happy Little Elves'
91,'Itchy and Scratchy'
92,'Grampa Abraham Simpson'
93,'Judge Constance Harm'
94,'Herman Hermann'
95,'Nelson Muntz'
96,'Janey Powell'
97,'Bernice Hibbert'
98,'Dr. Julius Hibbert'
99,'Captain Lance Murdock'
100,'Elizabeth Hoover'
101,'Rachel Jordan'
102,'Kang and Kodos'
103,'Edna Krabappel'
104,'Martin Prince'
105,'Dr. J. Loren Pryor'
106,'Radioactive Man'
107,'Rabbi Hyman Krustofski'
108,'Lois Pennycandy'
109,'Mr. Teeny'
110,'Krusty the Clown'
111,'Old Barber'
112,'Lenny Leonard'
113,'Helen Lovejoy'
114,'Coach Lugash'
115,'Lurleen Lumpkin'
116,'Captain Horatio McCallister'
117,'Ruth Powers'
118,'Roger Meyers'
119,'Sideshow Mel'
120,'Troy McClure'
